k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272738486,1.7272727266590575,1.5726343141002364,0.8181818181826761,0.8181818181824037,0.8181818181815977,0.8181818181744311,0.6055759745076456,0.4278503173417701
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272733825,1.7272727272729425,1.72727272727253,1.7272727272716206,1.7272727272713229,1.727272726297495,1.2437784848497122,0.4636857698042178,0.29253574530851584
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181819357,0.8181818181818796,0.8181818181818312,0.8181818181818215,0.8181818181818183,0.8181818181818156,0.8181818181818079,0.8181818181817494,0.8181818181799964
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272737325,1.7272727272721766,1.572634314191126,0.818181818181967,0.8181818181818287,0.8181818181818127,0.8181818181817165,0.6055759745107259,0.42785031735942514
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272736652,1.7272727272727937,1.7272727272727315,1.7272727272726995,1.7272727272725448,1.7272727272702753,1.243778484869766,0.4636857698100376,0.29253574532020116
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181915788,0.8181818181819841,0.8181818181818786,0.8181818181818246,0.8181818181818163,0.8181818181818128,0.8181818181817971,0.8181818181817769,0.8181818181807603
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272725483,1.7272727272624953,1.5726343141895827,0.8181818181821459,0.8181818181818179,0.8181818181818028,0.818181818178929,0.6055759745103774,0.42785031735826967
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727273065032,1.7272727272736257,1.7272727272727284,1.7272727272726158,1.727272727271402,1.7272727272690622,1.2437784848719549,0.46368576981016807,0.2925357453211045
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818185619243,0.8181818181930991,0.8181818181818451,0.8181818181818278,0.8181818181818106,0.8181818181817906,0.8181818181817365,0.8181818181814319,0.8181818181750995
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727273179793,1.7272727272614756,1.5726343143331658,0.8181818181927986,0.8181818181825546,0.8181818181815528,0.8181818181805315,0.6055759745135167,0.4278503173982646
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272745159,1.727272727272798,1.7272727272726753,1.7272727272710533,1.7272727272476631,1.7272727268988877,1.2437784848081548,0.4636857698019084,0.29253574528890114
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818550016323,0.8181818182263857,0.8181818181824646,0.818181818182163,0.818181818181957,0.818181818181803,0.8181818181813093,0.8181818181768109,0.8181818181593278
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727273009794,1.7272727246481674,1.5726342985786919,0.818181818190854,0.8181818181837536,0.8181818181812325,0.8181818179978722,0.6055759727129215,0.4278503093654507
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727276164728,1.7272727272738146,1.7272727272721538,1.7272727272702288,1.727272727238594,1.7272727264725414,1.243778484199191,0.4636857698014601,0.29253574500648916
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818342803961,0.8181818182075767,0.8181818181830136,0.8181818181828546,0.8181818181822332,0.8181818181817697,0.8181818181812727,0.8181818181811147,0.8181818181581527
10,9,5-5-5-10-10-10-10-10-15-20,1.727272727315357,1.7272727256057159,1.5726343142183685,0.8181818183554741,0.8181818181829151,0.818181818178432,0.8181818175875877,0.6055759745356787,0.42785031726505257
10,9,5-5-5-5-5-5-5-15-20-30,1.727272729144851,1.7272727272791308,1.7272727272762718,1.7272727272730872,1.7272727272050399,1.727272720196526,1.2437784847295572,0.463685769811771,0.292535745276773
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818758114573,0.8181818182463514,0.8181818181864434,0.8181818181830541,0.8181818181820517,0.8181818181817881,0.818181818181496,0.8181818181808118,0.8181818181685336
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727378073036,1.7272727271612307,1.5726343300673358,0.8181818183840098,0.8181818181832836,0.8181818181818457,0.8181818181797379,0.6055759764159855,0.4278503265546226
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727495325348,1.7272727275510502,1.7272727272818609,1.7272727272766324,1.7272727272724728,1.727272727260916,1.2437784967262664,0.4636857705276222,0.2925357511625679
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181818237,0.8181818181818219,0.81818181818182,0.8181818181818181,0.8181818181818172,0.818181818181817,0.8181818181818165,0.8181818181818155,0.8181818181818112
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272727313,1.7272727272727255,1.5726343141905472,0.8181818181818195,0.8181818181818189,0.8181818181818169,0.8181818181818152,0.605575974510691,0.4278503173593681
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272727344,1.7272727272727322,1.7272727272727302,1.7272727272727295,1.7272727272727262,1.7272727272727226,1.2437784848697717,0.4636857698100214,0.29253574532020793
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181818663,0.8181818181818266,0.818181818181824,0.8181818181818146,0.818181818181814,0.8181818181818132,0.8181818181818086,0.8181818181817354,0.8181818181798337
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727272734303,1.7272727272727078,1.5726343141909167,0.8181818181819159,0.8181818181818548,0.8181818181818157,0.8181818181816866,0.6055759745106574,0.42785031735930734
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272756911,1.7272727272727757,1.7272727272727466,1.7272727272727246,1.7272727272726294,1.7272727272725117,1.2437784848698243,0.4636857698100725,0.29253574532023185
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181822766,0.818181818181958,0.8181818181819075,0.8181818181818229,0.8181818181818004,0.8181818181817729,0.8181818181814389,0.8181818181808613,0.8181818180895475
10,9,5-5-5-10-10-10-10-10-15-20,1.7272727277561515,1.727272727265826,1.5726343143768067,0.8181818181953889,0.8181818181819224,0.8181818181818078,0.8181818181816418,0.60557597452099,0.4278503174243834
10,9,5-5-5-5-5-5-5-15-20-30,1.727272727721607,1.7272727272759567,1.7272727272728066,1.7272727272726895,1.7272727272725217,1.727272727270638,1.2437784849108044,0.4636857698134109,0.2925357453420565
10,9,10-10-10-10-10-10-10-10-10-10,0.8181818181818321,0.818181818181822,0.8181818181818201,0.8181818181818188,0.8181818181818176,0.8181818181818169,0.8181818181818158,0.8181818181818151,0.8181818181818057
10,9,5-5-5-10-10-10-10-10-15-20,1.727272727272789,1.727272727272697,1.5726343141905474,0.8181818181818228,0.8181818181818181,0.8181818181818149,0.8181818181817737,0.6055759745106885,0.4278503173593652
10,9,5-5-5-5-5-5-5-15-20-30,1.7272727272728214,1.7272727272727426,1.7272727272727342,1.7272727272727288,1.7272727272727173,1.727272727272697,1.2437784848697717,0.46368576981002385,0.2925357453202099
